input,target
16.24,499.99999999999994
-6.12,-409.90999999999997
-5.28,-90.24000000000002
-10.73,-339.66499999999996
8.65,132.71499999999997
-23.02,-769.25
17.45,465.745
-7.61,-151.235
3.19,173.45499999999998
-2.49,95.53499999999998
14.62,530.6999999999999
-20.6,-743.46
-3.22,-219.13
-3.84,15.950000000000003
11.34,522.54
-11.0,-339.27
-1.72,23.42
-8.78,-398.28
0.42,-161.57999999999998
5.83,80.41499999999999
-11.01,-351.525
11.45,317.085
9.02,272.1
5.02,124.00999999999999
9.01,362.735
-6.84,-45.870000000000005
-1.23,-13.895
-9.36,-62.47999999999996
-2.68,-125.18
5.3,129.14000000000001
-6.92,-152.29
-3.97,-136.565
-6.87,-71.825
-8.45,-301.835
-6.71,-52.38499999999999
-0.13,35.455
-11.17,-64.13499999999999
2.34,44.959999999999994
16.6,506.0300000000001
7.42,260.88
-1.92,-256.65999999999997
-8.88,-190.61000000000004
-7.47,-159.755
16.92,546.99
0.51,-118.88499999999999
-6.37,-328.945
1.91,136.915
21.0,778.02
1.2,216.04999999999998
6.17,118.645
3.0,8.420000000000002
-3.52,-114.55
-11.43,-526.185
-3.49,-145.335
-2.09,41.43500000000001
5.87,362.495
8.39,303.815
9.31,468.01500000000004
2.86,148.32
8.85,309.065
-7.54,-227.11
12.53,420.85499999999996
5.13,150.975
-2.98,-84.98
4.89,102.95499999999998
-0.76,22.72
11.32,366.7
15.2,335.64
21.86,662.66
-13.96,-491.35
-14.44,-625.24
-5.04,-85.33
1.6,224.67000000000002
8.76,524.15
3.16,272.62
-20.22,-683.79
-3.06,44.19
8.28,384.53
2.3,-108.63000000000001
7.62,338.53999999999996
-2.22,15.009999999999991
-2.01,-25.02499999999999
1.87,105.895
4.1,150.88
1.98,243.57999999999998
1.19,16.115000000000002
-6.71,-204.645
3.78,136.03
1.22,84.78
11.29,188.02499999999998
11.99,524.495
1.85,99.04500000000002
-3.75,-37.465
-6.39,-155.165
4.23,130.375
0.77,7.964999999999996
-3.44,-75.31
0.44,48.63
-6.2,-53.56999999999999
6.98,267.5
-4.47,-129.68499999999997
12.25,592.285
4.03,14.975000000000023
5.94,67.15
-10.95,-278.515
1.69,50.30500000000001
7.41,68.54499999999999
-9.54,-302.18999999999994
-2.66,-132.2
0.33,143.175
-13.73,-460.895
3.15,221.135
8.46,324.01000000000005
-8.6,-262.93
3.51,129.17499999999998
-13.12,-337.28999999999996
-0.39,-222.69500000000002
-16.16,-440.17
11.21,323.995
4.09,324.53499999999997
-0.25,-56.754999999999995
-7.75,-102.115
12.74,157.07999999999998
19.67,701.3950000000001
-18.58,-519.0799999999999
12.36,372.28
16.28,504.45
3.38,97.03
-11.99,-303.395
8.63,269.795
-1.81,-213.97500000000002
-6.04,-182.8
-12.3,-131.68000000000004
5.51,192.735
7.93,290.945
-6.24,-214.13
5.21,196.315
-11.44,-311.12999999999994
8.02,238.49
0.47,120.66499999999999
-1.87,-129.345
-1.02,-24.13
8.69,335.55499999999995
7.5,222.05
5.29,58.955
1.38,117.91999999999999
0.78,-54.43
6.18,163.76
2.32,7.949999999999989
6.83,217.245
-3.1,-117.49
-24.35,-770.1350000000001
10.39,404.995
21.87,863.2950000000001
4.41,118.755
-1.0,41.77
-1.36,-57.02
-1.19,-6.405000000000001
0.17,137.965
-11.22,-317.18000000000006
-5.17,-219.235
-9.97,-357.07500000000005
2.49,34.275000000000006
-2.97,-71.915
4.95,256.775
-1.75,-169.255
9.86,216.99999999999994
2.14,-7.179999999999993
21.91,513.315
-18.96,-425.68999999999994
-6.47,-180.97499999999997
9.01,484.885
25.28,648.6100000000001
-2.49,73.47499999999998
0.44,-36.739999999999995
-2.26,-89.66999999999999
13.31,327.05500000000006
-2.87,-162.52499999999998
6.8,95.03
-3.2,-55.97000000000001
-12.73,-499.68499999999995
3.14,91.59
5.03,172.49500000000003
12.93,481.025
-1.1,-3.510000000000005
-6.17,-136.055
5.63,243.155
2.41,91.775
2.81,142.035
-0.73,-100.235
11.6,296.25
3.69,322.295
19.05,599.855
11.11,287.80499999999995
6.59,358.985
-16.27,-491.915
6.02,138.95999999999998
4.2,3.1999999999999886
8.11,345.305
10.44,229.78999999999996
-4.01,-156.20499999999998
8.24,335.73
-5.62,-133.05
19.55,607.635
-13.32,-407.65999999999997
-17.61,-402.515
-16.51,-260.5250000000001
-8.91,-306.635
-11.19,-264.405
19.56,809.4599999999999
-3.26,28.480000000000004
-13.43,-458.295
11.14,316.70000000000005
-5.87,-218.83499999999998
-12.37,-448.625
8.76,224.79000000000002
6.23,236.205
-4.35,-171.375
14.08,537.06
1.29,71.675
16.17,473.4750000000001
5.03,262.02500000000003
15.59,527.395
1.09,79.735
-12.2,-248.09999999999997
24.49,824.275
-5.46,-157.42000000000002
-1.99,53.065000000000005
-7.0,-162.57
-2.03,249.81500000000003
2.43,203.985
2.02,196.93
6.61,350.70500000000004
17.92,574.5400000000001
-1.2,114.69
-12.33,-353.725
-11.82,-423.63
-6.66,-239.53
-16.74,-437.7699999999999
8.25,115.51499999999999
-4.98,-111.05000000000001
-3.11,-147.695
-0.02,91.21
-13.97,-480.70500000000004
-8.61,-55.37499999999997
6.75,302.655
6.19,81.90500000000002
-4.43,60.765000000000015
18.11,549.625
-13.06,-451.08000000000004
-3.45,-187.60500000000002
-2.31,6.325000000000003
-27.93,-681.415
19.38,553.2499999999999
3.66,31.86999999999999
-10.45,-412.69499999999994
20.51,795.195
5.86,365.8
4.3,116.30000000000001
-6.07,-111.36500000000001
1.06,52.04
-15.26,-451.49
7.95,358.875
-3.74,-49.970000000000006
1.34,93.82000000000001
12.02,357.35
2.85,188.485
2.62,71.71
2.76,109.16999999999999
-7.33,-181.615
8.36,154.86
15.43,460.705
7.59,220.235
8.85,300.045
-8.77,-358.665
-8.68,-363.4
-14.41,-257.155
12.32,511.4
-2.54,31.430000000000007
14.0,629.48
-7.82,-176.55
-4.38,-122.7
0.95,97.195
9.21,112.97500000000002
0.61,-71.205
2.11,160.21499999999997
0.17,28.445
1.77,-53.775000000000006
-11.16,-254.53
0.81,144.595
-1.87,29.755000000000003
-0.57,-0.4149999999999978
4.92,86.46000000000001
-6.81,-176.945
-0.85,36.765
-2.97,-106.44500000000001
4.17,207.485
7.85,290.86499999999995
-9.55,-237.96500000000003
5.86,-4.519999999999982
20.66,758.24
-14.71,-256.21500000000003
-8.3,-273.40000000000003
-8.81,-396.39500000000004
-2.79,-1.2049999999999983
16.23,468.445
0.13,-72.735
-6.95,-70.205
6.22,71.36999999999998
-6.0,-91.26
11.23,237.745
3.05,259.255
13.89,495.30500000000006
-6.61,-207.34500000000003
30.31,959.395
8.25,329.835
6.55,302.765
-0.51,87.225
-7.26,-146.76
-8.68,-292.48
-1.36,44.92999999999999
-7.97,-354.215
2.83,206.725
-8.26,-144.63
6.21,348.815
9.56,252.70000000000005
-7.06,-176.70999999999998
11.93,469.695
-2.38,-20.800000000000004
11.55,329.605
4.38,184.32
11.22,369.01000000000005
-9.97,-184.51500000000004
-1.07,-75.48500000000001
14.51,496.505
-6.18,-139.2
-20.37,-525.5550000000001
-19.43,-579.905
-25.06,-731.5999999999999
-21.14,-631.86
-4.12,-102.25
12.79,410.93499999999995
-4.42,-147.48000000000002
3.24,401.55
-1.1,-97.94
0.09,-94.595
-1.68,-110.8
-1.74,-104.08000000000001
4.61,161.745
-11.76,-195.59
10.1,496.89
